fechas,precios_eur,Var. PIB (%)
2022,109.259 M€,2.9%
2021,89.703 M€,4.2%
2020,87.000 M€,-7.8%
2019,96.560 M€,0.0%
2018,91.039 M€,1.3%
2017,92.356 M€,2.4%
2016,90.311 M€,-1.2%
2015,89.481 M€,0.1%
2014,76.552 M€,3.8%
2013,71.627 M€,4.9%
2012,68.392 M€,5.6%
2011,56.964 M€,7.9%
2010,52.423 M€,3.5%
2009,44.873 M€,0.6%
2008,41.999 M€,6.4%
2007,37.215 M€,2.2%
2006,37.273 M€,4.4%
2005,33.345 M€,5.3%
2004,29.430 M€,8.2%
2003,28.680 M€,2.7%
2002,30.214 M€,4.1%
2001,27.319 M€,4.0%
2000,19.825 M€,1.1%
1999,18.503 M€,-4.7%
1998,,3.3%
1997,,4.3%
1996,,1.7%
1995,,2.3%
1994,,4.3%
1993,,2.0%
1992,,3.6%
1991,,5.1%
1990,,3.0%
1989,,0.3%
1988,,10.5%
1987,,-6.0%
1986,,3.1%
1985,,4.4%
1984,,4.2%
1983,,-2.8%
1982,,1.2%
1981,,3.9%
1980,,4.9%
1979,,3.7%
1978,,5.7%
1977,,1.6%
1976,,7.4%
1975,,11.0%
1974,,11.2%
1973,,14.0%
1972,,5.0%
1971,,6.3%
1970,,6.9%
1969,,4.7%
1968,,1.9%
1967,,4.6%
1966,,-0.3%
1965,,3.3%
1964,,7.4%
1963,,2.1%
1962,,4.9%
1961,,5.1%
